"","opid","operator","atype","remarks","phase_of_flt","ac_mass","num_engs","date","time_of_day","state","height","speed","effect","sky","species","birds_seen","birds_struck"
"22","USA","US AIRWAYS","B-737-200","INDENTATION AT POINT OF RADOME APPROX. 8 INCHES IN DIAMETER & 1.5  IN. DEEP.  BIRD PARTS STRUCK UNDERSIDE OF RT WING 10 IN. INBOARD  OF RT ENG PYLON JUST BEHIND LE FLAP.  BIRD PARTS ALSO STRUCK RT  MAIN GEAR STRUT & GEAR STRUT DOOR. TIME = 1840 LCL.","Approach",4,2,1991-03-25,"Dusk","NY",500,129,"None","Overcast","GULLS",NA,"1"
"23","AAL","AMERICAN AIRLINES","MD-80","APPEARED TO BE NO DAMAGE.","Landing Roll",4,2,1990-11-14,"Day","TX",0,130,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"24","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE SUSPECTED OR OBSVD BY PILOTS. FLT 1453","Approach",4,2,1991-04-22,"Night","NE",600,140,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"25","BUS","BUSINESS","C-207 SKYWAG","NO DAMAGE.  THE BIRD STRUCK THE RIGHT WING. RAIN.","Descent",1,1,1991-09-18,"Day","AK",100,80,"None","Overcast","DUCKS","11-100","1"
"26","AAL","AMERICAN AIRLINES","DC-9-80","TWR REPTD THAT PREVIOUSLY LANDING AIRCRAFT HAD SEEN A FLOCK  OF BIRDS IN THE VICINITY OF RWY 24R.  WE WERE AT 300 AGL ON FINAL  APPCH. AT 150'AGL BIRDS LIFTED OFF FROM RT SIDE OF APPCH END.  AT  100' WE HIT THE FLOCK OF BIRDS.  NOSE, WINDSHLD, NOSE GEAR RT  MAIN MOUNT, BOTH LEADING EDGES & FLAPS & LT ENG SHOW IMPACT.  NO  STRUCTURAL DAMAGE WAS FOUND.  LT LANDING LIGHT ON WING WAS  DAMAGED & REPLACED.","Approach",4,2,1991-09-10,"Day","OH",100,140,"None","No Cloud","EUROPEAN STARLING",NA,"11-100"
"27","COA","CONTINENTAL AIRLINES","B-727","NO DAMAGE FLT 490.","Approach",4,3,1990-06-14,"Day","FL",400,138,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"28","GOV","GOVERNMENT","HUGHES 269A","NO DAMAGE. TIME = 1810 LCL.","Take-off run",1,1,1991-09-27,"Dusk","OH",0,20,"Aborted Take-off","Some Cloud","SPARROWS",NA,"1"
"29","BUS","BUSINESS","C-402","DAMAGE UNKN, FLT TO BTV WAS CONTINUED. ATIS WARNING & L.C.","Climb",2,2,1991-09-26,"Day","ME",30,100,NA,"Overcast","GULLS","2-Oct","2-Oct"
"30","KFS","KALITTA CHARTERS","LEARJET-23",NA,"Landing Roll",2,2,1993-07-06,"Day","NY",0,100,"None","Some Cloud","RING-NECKED PHEASANT",NA,"1"
"31","UPS","UPS AIRLINES","B-727","NO DAMAGE FOUND IN INITIAL CHECK, FURTHER CHECKS NEEDED DURING  DAYLIGHT.","Approach",4,3,1990-05-16,"Night","NY",500,130,NA,"Overcast","UNKNOWN BIRD - LARGE",NA,"1"
"32","HNA","HENSON","DHC8 DASH 8","NO DAMAGE. FLT 4420","Take-off run",3,2,1990-11-25,"Day","SC",0,100,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"33","MEP","MIDWEST AIRLINES","DC-9-10","ATIS WARNING. NO DAMAGE.","Approach",4,2,1990-10-04,"Day","WI",100,125,"None","No Cloud","GULLS","2-Oct","1"
"34","NWA","NORTHWEST AIRLINES","DC-9","RAIN. REMAINS NOT FOUND.","Take-off run",4,2,1994-08-12,"Day","MI",0,160,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"35","USA","US AIRWAYS","B-737-200","SMALL DENT IN HORIZ STABL. #2 ENG BEING CHECKED.","Climb",4,2,1991-10-22,"Dusk","OH",30,140,"Precautionary Landing","No Cloud","UNKNOWN BIRD - SMALL","11-100","1"
"36","USA","US AIRWAYS","FK-28-1000",NA,"Approach",4,2,1991-07-31,"Day","VA",50,125,"None","Some Cloud","SPARROWS",NA,"1"
"37","DAL","DELTA AIR LINES","B-727","NO DAMAGE/INJURY","Approach",4,3,1991-05-04,"Day","KY",3000,180,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"38","USA","US AIRWAYS","B-737-200","DAMAGED 1ST & 2ND STAGE FANS. FLT 260","Take-off run",4,2,1990-06-01,"Dawn","ON",0,136,"None","No Cloud","GULLS","2-Oct","1"
"39","AAL","AMERICAN AIRLINES","B-757-200","NO DAMAGE","Approach",4,2,1990-10-10,NA,"TX",600,130,NA,"Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"40","AAL","AMERICAN AIRLINES","B-727","NO DAMAGE. TIME = 1858Z","Take-off run",4,3,1990-06-13,NA,NA,0,140,"None","Some Cloud","DOVES",NA,"1"
"41","COM","COMAIR AIRLINES","SAAB-340",NA,"Take-off run",3,2,1993-08-09,"Day","MI",0,98,"Aborted Take-off","Overcast","RED-TAILED HAWK",NA,"1"
"42","AAL","AMERICAN AIRLINES","MD-80",NA,"Approach",4,2,1993-08-30,"Day","NC",400,130,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"43","AAL","AMERICAN AIRLINES","DC-10-30","LARGE, POSSIBLY EAGLE","Climb",4,3,1990-11-30,"Day","IL",2500,330,NA,"No Cloud","HAWKS",NA,"1"
"44","SDU","WESTAIR COMMUTER","BA-31 JETSTR","NO DAMAGE. FLT 296.","Take-off run",2,2,1990-10-01,"Day","CA",0,91,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"45","BUS","BUSINESS","PA-44 SEMINOLE",NA,"Climb",2,2,1991-03-03,"Day","NC",30,100,"None","Overcast","GULLS","2-Oct","1"
"46","UNK","UNKNOWN","PA-28","MINOR DAMAGE TO COWLING BEHIND NOSE WHEEL. TEAL?","Take-off run",1,1,1990-11-30,"Day","FL",0,60,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"47","NWA","NORTHWEST AIRLINES","DC-10","SEA ATCT REPORTS FLT 150 WAS 8 NM NORTH OF SEA TAC WHEN  THEY REPTD THEY THOUGHT THEY HIT A BIRD, THERE WAS NO APPARENT DAMAGE.","Climb",4,3,1990-07-09,"Day","WA",2000,200,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"48","BUS","BUSINESS","PA-60 600","1 BIRD IN COWLING. A FLOCK OF SPARROWS OR STARLINGS SUDDENLY  SWARMED UP AS WE WERE LANDING. NO DAMAGE.","Approach",2,2,1992-12-02,"Day","VA",100,106,NA,"Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","2-Oct"
"49","USA","US AIRWAYS","B-737-200","RETD FOR ENG INSPN. TIME OUT OF SVC WAS 2 HR 35 MIN.","Climb",4,2,1990-11-08,"Night","NY",60,230,"Precautionary Landing","No Cloud","UNKNOWN BIRD",NA,"1"
"50","NAE","NASHVILLE EAGLE","SHORTS 360","BODY NOT RECOVERED.","Descent",3,2,1992-09-29,"Day","NY",2500,190,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"51","SWA","SOUTHWEST AIRLINES","B-737-500","MAINT INSPN FOUND BLOOD & FEATHERS IN NOSE GEAR AREA & UPPER  FORWARD WINDSHLD. NO STRUCTURAL DAMAGE FOUND.  HIT A FLOCK OF  WATERFOWL.  WARNING ON ATIS","Approach",4,2,1992-11-06,"Day","CA",1200,140,NA,"No Cloud","DUCKS, GEESE, SWANS","2-Oct","2-Oct"
"52","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE","Approach",4,2,1990-10-22,"Night","TX",3500,180,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"53","USA","US AIRWAYS","B-737-300","BIRD HIT CAPTAINS UPPER LEFT WINDSCREEN.","Landing Roll",4,2,1991-08-29,"Day","FL",0,100,NA,"Some Cloud","EGRETS","2-Oct","2-Oct"
"54","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE/INJURY","Approach",4,2,1991-08-23,"Night","TX",4000,250,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"55","PVT","PRIVATELY OWNED","PA-28","NO DAMAGE/INJURY","Approach",1,1,1991-09-02,"Day","SC",950,85,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"56","BUS","BUSINESS","BE-200 KING","BIRD APPEARED TO BE ROOSTING ON RWY FOR THE NIGHT.","Landing Roll",2,2,1990-04-21,"Night","MD",0,80,"None","Overcast","GULLS",NA,"1"
"57","USA","US AIRWAYS","B-737-300","DAMAGED  CAPT'S WINDSHLD WIPERS.","Descent",4,2,1990-02-26,"Night","TX",10000,250,NA,"No Cloud","HAWKS",NA,"1"
"58","AMW","AIR MIDWEST","BA-31 JETSTR","RADOME DENTED IN 6"" DEEP 8"" DIAMETER. NOT REPARABLE, RADAR DISH  UNDAMAGED.","Descent",2,2,1990-09-09,"Night","IN",4500,245,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"59","EGF","AMERICAN EAGLE AIRLINES","SAAB-340","HIT BELOW WINDSHLD ON RT SIDE.","Climb",3,2,1993-10-18,"Day","NY",100,160,"None","No Cloud","SPARROWS","2-Oct","1"
"60","ABX","ABX AIR (was AIRBORNE EXPRESS)","DC-9","7 MI N OF ARPT. # BIRDS STRUCK NOT REPTD, ASSUME 1.","Approach",4,2,1993-09-28,"Dawn","FL",4000,210,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"61","AAL","AMERICAN AIRLINES","FK-100",NA,"Approach",4,2,1993-09-03,"Night","TX",5000,250,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"62","AAL","AMERICAN AIRLINES","B-727",NA,"Landing Roll",4,3,1992-04-29,"Day",NA,0,80,"None","Some Cloud","PARROTS",NA,"1"
"63","NAE","NASHVILLE EAGLE","BA-31 JETSTR","NEED NEW ENG & PROP. NO INJURY. DATE = POSTMARK. ALT REPD AS 5000' BUT SINCE FORM DID NOT INDICATE AGL VS MSL, ASSUME MSL AND CHANGED ALT TO 3000' AGL DUE TO FIELD ELEVATION OF 2168'","Approach",2,2,1990-10-29,"Night","NC",5000,160,NA,"No Cloud","BARN OWL",NA,"1"
"64","MDW","MIDWAY AIRLINES","DC-9","LANDING LIGHT BROKEN.","Approach",4,2,1991-09-26,"Day","KY",100,120,NA,"No Cloud","MOURNING DOVE","2-Oct","2-Oct"
"65","BLR","ATLANTIC COAST AIRLINES","EMB-120","NOT A GULL, SMALL, WHITE WATER TYPE BIRD, SOME TYPE OF TERN","Approach",3,2,1992-03-24,"Day","DC",50,125,"None","No Cloud","TERNS","2-Oct","1"
"66","NAE","NASHVILLE EAGLE","SHORTS 360",NA,"Approach",3,2,1993-10-01,"Day","NC",200,110,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"67","AAL","AMERICAN AIRLINES","MD-80","FLT 1423 REPTD STRIKES ON F/O'S WINDSHLD, SLIDING  & REAR  WINDOWS. POSSIBLE STRIKES ELSEWHERE. FEATHERS FOUND IN #2 ENG.  A/C TAKEN OUT OF SERVICE. NO INJURIES. DAMAGE UNKN. TIME =  1144CST","Take-off run",4,2,1992-06-01,"Day","TX",0,150,"Aborted Take-off","Some Cloud","ROCK PIGEON","2-Oct","2-Oct"
"68","USA","US AIRWAYS","DC-9","LOWER LEFT CORNER OF RADOME STRUCK WITH NO DAMAGE. ATIS WARNING.","Landing Roll",4,2,1991-07-26,"Day","NJ",0,100,"None","Some Cloud","LAUGHING GULL",NA,"1"
"69","USA","US AIRWAYS","MD-80","PILOT FILED OWN REPT THRU COMPANY. ATIS WARNING. FLT 2082.","Approach",4,2,1993-09-20,"Night","NJ",3000,210,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"70","BUS","BUSINESS","PA-32","NO DAMAGE/INJURY. FLT 2215Z.","Approach",1,1,1991-03-09,"Day","FL",10,90,NA,"Overcast","GULLS","2-Oct","2-Oct"
"71","BUS","BUSINESS","PA-28","NO DAMAGE","Landing Roll",1,1,1990-06-12,"Day","MI",0,65,NA,"Some Cloud","SPARROWS",NA,"1"
"72","BUS","BUSINESS","C-650",NA,"Approach",3,2,1993-07-15,"Day","PA",50,100,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"73","UNK","UNKNOWN","BE-58  BARON","UNKN IF ANY DAMAGE.","Climb",2,2,1992-09-25,"Day","IL",100,110,NA,"Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"74","UPS","UPS AIRLINES","B-727","PERFORMED MAINT. INSPN. NO DAMAGE FOUND.","Approach",4,3,1991-09-20,"Night","VA",2000,125,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"75","AAL","AMERICAN AIRLINES","MD-80","POSSIBLE BIRD STRIKE DURING T/O.  NO SUSPECTED DAMAGE.","Take-off run",4,2,1993-07-03,"Day","PA",0,100,"None","Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"76","GAA","BUSINESS EXPRESS","BE-1900","FLT 876.  NO OBSVD DAMAGE TO A/C, ONLY ENTRAILS.","Approach",3,2,1992-08-12,"Day","NY",500,140,"None","Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"77","AAH*","ALOHA AIRLINES","B-737","NO DAMAGE/INJURY. REPORTER THOUGHT IT MIGHT BE A BLACK GOOSE.","Landing Roll",4,2,1991-09-03,"Day","HI",0,100,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"78","COA","CONTINENTAL AIRLINES","DC-9-30","NO DAMAGE","Climb",4,2,1991-09-02,"Dusk","PA",40,160,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"79","AAL","AMERICAN AIRLINES","A-300","NO DAMAGE","Approach",4,2,1990-12-17,"Night","NY",1000,140,"None","No Cloud","UNKNOWN BIRD",NA,"1"
"80","AAL","AMERICAN AIRLINES","MD-80","BIRD HIT CENTER COCKPIT WINDOW. NO DAMAGE.","Approach",4,2,1990-07-18,"Day","TN",800,160,NA,"No Cloud","BLACKBIRDS",NA,"1"
"81","AAL","AMERICAN AIRLINES","MD-80","STRUCK LOWER RT. RADOME---NO DAMAGE.","Approach",4,2,1990-10-22,"Day","GA",250,133,"None","Overcast","UNKNOWN BIRD - MEDIUM",NA,"1"
"82","BUS","BUSINESS","BE-200 KING","NO DAMAGE","Landing Roll",2,2,1990-07-02,NA,"DC",0,120,NA,"No Cloud","GULLS",NA,"1"
"83","GAA","BUSINESS EXPRESS","BE-1900","NO DAMAGE. FLT 854.","Landing Roll",3,2,1990-05-08,NA,"NY",0,60,NA,"Overcast","GULLS",NA,"1"
"84","COM","COMAIR AIRLINES","SAAB-340","PILOT STATED NO DAMAGE TO A/C THEY THINK THAT MAYBE THEY DID  NOT HIT HIM.","Landing Roll",3,2,1990-11-13,"Day","TN",0,105,"None","No Cloud","OWLS",NA,"1"
"85","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE","Approach",4,2,1992-02-07,"Day","FL",1500,200,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"86","BUS","BUSINESS","PA-46 MALIBU","NO DAMAGE.","Approach",1,1,1990-05-27,"Day","NY",2,75,NA,"No Cloud","ROCK PIGEON",NA,"1"
"87","AAL","AMERICAN AIRLINES","B-767-200","BIRD HIT RIGHT SIDE OF NOSE NEAR AOA INDICATOR, NO DAMAGE.","Approach",4,2,1990-10-21,"Day","FL",30,142,NA,"Some Cloud","HAWKS",NA,"1"
"88","BUS","BUSINESS","C-172","LOCAL FLT, 1 PAX, 2 GEESE STRUCK A/C ON LEFT BASE LEG. 1 DAMAGED  RT WING OUTBOARD OF STRUT, 1 HIT RT FRONT ENG COWLING & CONTD  AFT, & BROKE WINDSHLD, BENT MAGNETIC COMPASS & DAMAGED  CABIN SPEAKER, BROKE COCKPIT LIGHTPANEL. PILOT HAD 5 STITCHES,  PAX UNINJURED. EVASIVE ACTION TAKEN - PILOT DIVED AFTER SEEING  GEESE IN FRONT OF A/C. TIME = 0350Z.","Approach",1,1,1991-10-18,"Night","NE",500,90,"Precautionary Landing","No Cloud","CANADA GOOSE","2-Oct","2-Oct"
"89","BUS","BUSINESS","PA-28","NO DAMAGE.","Climb",1,1,1990-09-06,"Day","CT",10,70,NA,"No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"90","USA","US AIRWAYS","B-737-200","NO DAMAGE","Approach",4,2,1993-09-17,"Day","MO",1000,140,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"91","BUS","BUSINESS","PA-28","EFFECT ON FLT = FLY-BY TOWER FOR GEAR CHECK","Climb",1,1,1990-08-02,"Day","MI",20,80,"Other","No Cloud","GULLS",NA,"1"
"92","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE.","Landing Roll",4,2,1990-07-31,NA,"PA",0,125,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"93","ASQ","ATLANTIC SOUTHEAST","EMB-120","FLT 301. NO DAMAGE, NO BIRD ACTIVITY OBSERVED BY THE TWR.","Approach",3,2,1990-08-02,"Dusk","TN",2000,120,"None","Some Cloud","BLACKBIRDS",NA,"1"
"94","SWA","SOUTHWEST AIRLINES","B-737-300","NO DAMAGE. SPARROW?","Take-off run",4,2,1990-08-07,"Day","TX",0,140,NA,"Overcast","SPARROWS",NA,"1"
"95","AAL","AMERICAN AIRLINES","DC-10-10","NO DAMAGE.","Approach",4,3,1990-08-15,"Day","NY",200,160,NA,"No Cloud","AMERICAN ROBIN",NA,"1"
"96","USA","US AIRWAYS","B-737-200","EXTENT, IF ANY, OF ENGINE DAMAGE NOT KNOWN AT THIS TIME.","Climb",4,2,1991-05-12,"Day","OH",200,160,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"97","HNA","HENSON","DHC8 DASH 8","BIRD STRUCK JUST BELOW WINSHIELD AND HIT WIPER FRAME.  NO  DAMAGE. TIME = 0820 LCL. FLT 4312.","Approach",3,2,1991-02-20,"Day","FL",100,100,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"98","AAL","AMERICAN AIRLINES","MD-82",NA,"Take-off run",4,2,1993-08-04,"Day","TX",0,120,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"99","COA","CONTINENTAL AIRLINES","B-737-300","NO DAMAGE/INJURIES. TIME = 0925LCL","Approach",4,2,1991-05-01,"Day","NY",10,127,"None","Overcast","GULLS",NA,"1"
"100","AJC","BAR HARBOR AIRLINES","SAAB-340","ATIS WARNING. NO DAMAGE. FLT 3402.","Approach",3,2,1990-07-21,"Night","FL",20,120,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"101","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE.","Approach",4,2,1990-09-27,"Day","MS",1000,145,NA,"No Cloud","UNKNOWN BIRD",NA,"1"
"102","SDU","WESTAIR COMMUTER","BA-146","ABOUT 30 BIRDS. NO DAMAGE. FLT 524.","Approach",4,4,1990-09-05,"Day","CA",10,110,NA,"No Cloud","ROCK PIGEON","11-100","11-100"
"103","BUS","BUSINESS","C-152",NA,"Approach",1,1,1991-10-02,"Day","NE",4,65,"Engine Shut Down","Some Cloud","BLACKBIRDS","11-100","2-Oct"
"104","MDW","MIDWAY AIRLINES","DC-9","EVERYTHING APPEARED FINE.  NO DAMAGE/INJURY.","Take-off run",4,2,1991-09-15,NA,"IA",0,130,NA,"Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"105","HNA","HENSON","DHC8 DASH 8","DENT IN A/C NOSE.","Approach",3,2,1991-02-21,"Day","FL",2600,130,NA,"No Cloud","VULTURES",NA,"1"
"106","UAL","UNITED AIRLINES","B-737-300","FLT 204. NO DAMAGE.","Approach",4,2,1992-06-30,"Day","VA",10,120,"None","No Cloud","SPARROWS","2-Oct","2-Oct"
"107","AAL","AMERICAN AIRLINES","MD-87","NO DAMAGE DETECTED BY MAINT.","Climb",4,2,1990-08-13,"Day","UT",200,150,"None","No Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"108","BUS","BUSINESS","MOONEY-20J",NA,"Approach",1,1,1993-07-31,"Dusk","NY",20,80,"None","Some Cloud","AMERICAN ROBIN",NA,"1"
"109","BUS","BUSINESS","C-650","NO DAMAGE.","Approach",3,2,1991-08-15,"Day","RI",100,120,NA,"Some Cloud","BLACKBIRDS",NA,"1"
"110","EPS","EPPS AVIATION CHARTER","PA-28","NO DAMAGE/INJURY. SPARROW?","Approach",1,1,1991-08-17,"Day","GA",1,70,NA,"Some Cloud","SPARROWS",NA,"1"
"111","USA","US AIRWAYS","B-737-300","NO DAMAGE/INJURY. TIME = 0000Z.FLT 1158.","Climb",4,2,1991-11-14,"Night","DC",5000,250,"None","Some Cloud","GULLS",NA,"1"
"112","UAL","UNITED AIRLINES","B-737-500","FLOCK OF SEAGULLS (# NOT REPTD, ASSUME 2-10). MULTIPLE STRIKES. RETURNED TO GATE. MX INSPECT. NO DAMAGE.  PAX LATER COMPLAINED OF NECK PAINS EVEN THOUGH THE ABORT WAS SMOOTH.","Take-off run",4,2,1995-03-05,NA,"OK",0,130,"Aborted Take-off",NA,"GULLS","2-Oct","2-Oct"
"113","AAL","AMERICAN AIRLINES","B-727-200","SMALL, BROWN BIRD, POSSIBLY DOVE. ONLY RESIDUE ON WINDSHLD WIPER  & WINDSHLD, F/O'S SIDE.","Landing Roll",4,3,1992-06-30,"Day","TX",0,120,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"114","LOF","TRANS STATES AIRLINES","BA-31 JETSTR","DARK, NEVER SAW BIRD UNTIL IMPACT. SUSPECT PHEASANT - ARPT HAS  HAD PROBLEMS WITH THEM IN THE PAST.","Landing Roll",2,2,1991-06-16,"Night","IL",0,100,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"115","AAL","AMERICAN AIRLINES","B-727-200","LRG GULL OR DUCK. A/C INSPECTED - NO DAMAGE FOUND.","Approach",4,3,1990-12-03,"Night","TN",500,140,NA,"Overcast","UNKNOWN BIRD - LARGE",NA,"1"
"116","MDW","MIDWAY AIRLINES","B-737-200","NOSEWHEEL DOOR DELAMINATE","Descent",4,2,1990-08-13,"Night","NV",14000,300,NA,"Some Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
