"","X","Facility.HHS.Code","Facility.HHS.Desc","Last.Month.in.QTR","Triage.Category","Number.of.Attendances","Variation.in.the.number.of.attendances....","Patients.Seen.within.clinically.recommended.times....","Median.Waiting.time.to.treatment..minutes.","Patients.who.did.not.wait.for.treatment....","Patients.admitted.from.the.Emergency.Department....","Admissions.to.hospital.within.4.hours...."
"70",69,42,"Boonah","Jun-24","4",439,15.8,95.5,0,2.3,4.3,63.2
"71",70,42,"Boonah","Jun-24","5",202,26.3,94.7,0,5.4,2,50
"72",71,42,"Boonah","Jun-24","ALL",1152,15.7,93.7,0,1.9,5.7,60.6
"73",72,43,"Caloundra","Jun-24","1",2,-33.3,100,0,0,0,NA
"74",73,43,"Caloundra","Jun-24","2",251,59.9,88.8,6,0,0,NA
"75",74,43,"Caloundra","Jun-24","3",727,28.4,81.5,15,1.7,0,NA
"76",75,43,"Caloundra","Jun-24","4",3118,-10.4,62.7,41,7.2,0,NA
"77",76,43,"Caloundra","Jun-24","5",2343,63.7,81.4,59,12,0.2,75
"78",77,43,"Caloundra","Jun-24","ALL",6441,14.2,72.5,36,8,0.1,75
"79",78,44,"Esk","Jun-24","1",6,50,100,1,0,16.7,0
"80",79,44,"Esk","Jun-24","2",94,-36.9,81.9,4,0,13.8,76.9
"81",80,44,"Esk","Jun-24","3",214,-15.7,88.8,7,0,7.9,70.6
"82",81,44,"Esk","Jun-24","4",394,5.6,93.2,8,0.8,5.3,52.4
"83",82,44,"Esk","Jun-24","5",220,64.2,96.3,7,4.1,3.6,62.5
"84",83,44,"Esk","Jun-24","ALL",928,1.5,91.7,7,1.3,6.5,63.3
"85",84,45,"Gatton","Jun-24","1",7,-41.7,85.7,0,0,28.6,0
"86",85,45,"Gatton","Jun-24","2",342,26.7,88.2,2,0.9,9.1,93.5
"87",86,45,"Gatton","Jun-24","3",971,7.8,89.4,5,2.8,4.7,73.9
"88",87,45,"Gatton","Jun-24","4",1219,9.4,92.7,5,4.3,2,66.7
"89",88,45,"Gatton","Jun-24","5",369,13.9,99.3,3,5.7,0.8,100
"90",89,45,"Gatton","Jun-24","ALL",2908,11,91.6,5,3.5,3.6,77.4
"91",90,46,"Kilcoy","Jun-24","1",0,-100,NA,NA,NA,NA,NA
"92",91,46,"Kilcoy","Jun-24","2",66,-1.5,90.8,0,0,15.2,60
"93",92,46,"Kilcoy","Jun-24","3",197,-12.8,87.1,3,1,9.6,47.4
"94",93,46,"Kilcoy","Jun-24","4",391,24.9,94.8,1,1,2.6,80
"95",94,46,"Kilcoy","Jun-24","5",304,47.6,99.5,5,2.6,0.7,100
"96",95,46,"Kilcoy","Jun-24","ALL",958,17.7,93.9,2,1.5,4.3,61
"97",96,47,"Laidley","Jun-24","1",5,-66.7,100,0,0,0,NA
"98",97,47,"Laidley","Jun-24","2",298,1,67,7,1.3,6.4,52.6
"99",98,47,"Laidley","Jun-24","3",627,15,81.2,11,3.7,4.8,40
"100",99,47,"Laidley","Jun-24","4",662,-10.8,88.3,11,5.4,3.2,57.1
"101",100,47,"Laidley","Jun-24","5",258,-3,98.5,8,7.4,1.6,100
"102",101,47,"Laidley","Jun-24","ALL",1850,-0.7,83.5,10,4.4,4,51.4
"103",102,48,"Maleny","Jun-24","1",2,-75,100,0,0,50,100
"104",103,48,"Maleny","Jun-24","2",136,0,87.5,0,0,13.2,77.8
"105",104,48,"Maleny","Jun-24","3",350,34.1,94.6,5,0.3,10.9,86.8
"106",105,48,"Maleny","Jun-24","4",497,-11.3,95.5,13,1.2,3.8,84.2
"107",106,48,"Maleny","Jun-24","5",347,-24.9,98.7,15,2,2.3,100
"108",107,48,"Maleny","Jun-24","ALL",1332,-6.7,95.2,10,1.1,6.3,85.7
"109",108,49,"Nambour","Jun-24","1",48,9.1,100,0,0,35.4,47.1
"110",109,49,"Nambour","Jun-24","2",2240,2.6,82.9,6,0,38,45.5
"111",110,49,"Nambour","Jun-24","3",6521,3.9,80,14,0.8,29.7,34.2
"112",111,49,"Nambour","Jun-24","4",6136,10.7,84,19,2.9,7.6,40.9
"113",112,49,"Nambour","Jun-24","5",1288,20.9,95.6,22,4.3,0.9,45.5
"114",113,49,"Nambour","Jun-24","ALL",16233,7.4,83,14,1.7,20.2,38.2
"115",114,61,"Biggenden MPHS","Jun-24","1",0,-100,NA,NA,NA,NA,NA
"116",115,61,"Biggenden MPHS","Jun-24","2",19,-13.6,100,0,0,68.4,92.3
"117",116,61,"Biggenden MPHS","Jun-24","3",70,6.1,98.6,0,0,35.7,100
"118",117,61,"Biggenden MPHS","Jun-24","4",152,-29,99.3,0,2,7.9,100
"119",118,61,"Biggenden MPHS","Jun-24","5",107,-4.5,100,0,1.9,0.9,100
"120",119,61,"Biggenden MPHS","Jun-24","ALL",348,-16.1,99.4,0,1.4,14.7,98
"121",120,62,"Bundaberg","Jun-24","1",45,18.4,97.8,0,0,64.4,27.6
"122",121,62,"Bundaberg","Jun-24","2",2054,-2.6,52.9,10,0.8,51.9,26.3
"123",122,62,"Bundaberg","Jun-24","3",5577,-6,43.6,38,7.6,33.4,17.7
"124",123,62,"Bundaberg","Jun-24","4",3382,-4.5,56.9,49,13.2,10.1,27.8
"125",124,62,"Bundaberg","Jun-24","5",346,7.5,87.8,25,15,4.3,26.7
"126",125,62,"Bundaberg","Jun-24","ALL",11404,-4.5,50.5,32,8.2,29,21.6
"127",126,63,"Cherbourg","Jun-24","1",5,66.7,100,0,0,20,100
"128",127,63,"Cherbourg","Jun-24","2",95,35.7,74.7,5,4.2,15.8,73.3
"129",128,63,"Cherbourg","Jun-24","3",301,-0.3,74.7,12,8.6,12.3,62.2
"130",129,63,"Cherbourg","Jun-24","4",680,8.5,80.2,27,17.2,5,67.6
"131",130,63,"Cherbourg","Jun-24","5",458,-21.8,94.6,26,17.2,2.8,84.6
"132",131,63,"Cherbourg","Jun-24","ALL",1539,-3.1,82.6,20,14.7,6.5,69
"133",132,64,"Childers","Jun-24","1",2,-71.4,100,0,0,0,NA
"134",133,64,"Childers","Jun-24","2",91,-5.2,91.2,0,0,45.1,97.6
"135",134,64,"Childers","Jun-24","3",379,25.9,91.7,1,1.3,22.7,94.2
"136",135,64,"Childers","Jun-24","4",501,33.6,97.1,4,2.8,8.6,95.3
"137",136,64,"Childers","Jun-24","5",196,10.7,98.2,8,8.2,2,100
"138",137,64,"Childers","Jun-24","ALL",1169,22.3,94.9,2,3,14.9,95.4
"139",138,65,"Eidsvold MPHS","Jun-24","1",0,-100,NA,NA,NA,NA,NA
"140",139,65,"Eidsvold MPHS","Jun-24","2",6,-25,100,0,0,66.7,100
"141",140,65,"Eidsvold MPHS","Jun-24","3",32,23.1,96.9,0,0,59.4,100
"142",141,65,"Eidsvold MPHS","Jun-24","4",60,7.1,96.6,0,0,20,100
"143",142,65,"Eidsvold MPHS","Jun-24","5",44,12.8,100,0,2.3,2.3,100
"144",143,65,"Eidsvold MPHS","Jun-24","ALL",142,8.4,97.9,0,0.7,25.4,100
"145",144,66,"Gayndah","Jun-24","1",10,42.9,100,0,0,90,100
"146",145,66,"Gayndah","Jun-24","2",81,28.6,98.8,0,0,60.5,98
"147",146,66,"Gayndah","Jun-24","3",181,47.2,98.9,0,0.6,42.5,98.7
"148",147,66,"Gayndah","Jun-24","4",189,-8.7,98.4,0,1.1,15.9,96.7
"149",148,66,"Gayndah","Jun-24","5",130,-35.3,99.2,0,1.5,5.4,85.7
"150",149,66,"Gayndah","Jun-24","ALL",591,-1.7,98.8,0,0.8,29.1,97.7
"151",150,67,"Gin Gin","Jun-24","1",2,-50,100,0,0,0,NA
"152",151,67,"Gin Gin","Jun-24","2",32,23.1,90.6,0,0,34.4,100
"153",152,67,"Gin Gin","Jun-24","3",186,11.4,93.5,5,0.5,28,100
"154",153,67,"Gin Gin","Jun-24","4",348,16.8,95.6,5,2.3,12.1,100
"155",154,67,"Gin Gin","Jun-24","5",343,-6,96.9,10,5.5,3.2,100
"156",155,67,"Gin Gin","Jun-24","ALL",911,5.9,95.5,5,3.1,12.7,100
"157",156,68,"Gympie","Jun-24","1",36,24.1,100,0,0,30.6,45.5
"158",157,68,"Gympie","Jun-24","2",1212,14.8,79.9,7,0.3,45.6,49.2
"159",158,68,"Gympie","Jun-24","3",3467,8.6,51.7,29,4.2,28.2,27.7
"160",159,68,"Gympie","Jun-24","4",3805,5.9,64,40,7.7,7.5,31.6
"161",160,68,"Gympie","Jun-24","5",393,-12.3,91.8,20,8.7,2.8,54.5
"162",161,68,"Gympie","Jun-24","ALL",8913,7.2,62.6,27,5.3,20.6,35
"163",162,69,"Hervey Bay","Jun-24","1",63,6.8,100,0,0,55.6,48.6
"164",163,69,"Hervey Bay","Jun-24","2",1775,13.9,87,4,0.2,56.3,37.7
"165",164,69,"Hervey Bay","Jun-24","3",5082,8.5,60.1,22,3.3,42.7,24.8
"166",165,69,"Hervey Bay","Jun-24","4",4201,4.7,75.9,19,8.1,20.2,23.2
"167",166,69,"Hervey Bay","Jun-24","5",436,-8.4,93.5,13,7.8,4.4,36.8
"168",167,69,"Hervey Bay","Jun-24","ALL",11557,7.1,71.3,14,4.7,35.2,27.9
"169",168,70,"Kingaroy","Jun-24","1",61,13,100,0,0,26.2,25
"170",169,70,"Kingaroy","Jun-24","2",818,36.1,49,11,0.2,21.8,4.5
"171",170,70,"Kingaroy","Jun-24","3",1992,3.7,48.6,32,2.8,15.3,6.9
"172",171,70,"Kingaroy","Jun-24","4",2408,-0.7,46.8,67,9.4,3.7,6.7
"173",172,70,"Kingaroy","Jun-24","5",1095,-2.9,68.1,65,13.2,1.1,50
"174",173,70,"Kingaroy","Jun-24","ALL",6374,4,51.3,40,6.7,9.4,7.5
"175",174,71,"Maryborough","Jun-24","1",33,-17.5,100,0,0,18.2,16.7
"176",175,71,"Maryborough","Jun-24","2",1093,8.8,87.1,5,0,41.6,66.6
"177",176,71,"Maryborough","Jun-24","3",2394,2.5,60.1,23,1.6,29.7,52.5
"178",177,71,"Maryborough","Jun-24","4",2665,4.6,60.3,44,6.8,9.3,52.2
"179",178,71,"Maryborough","Jun-24","5",281,-14.8,91.6,23,9.3,4.3,91.7
"180",179,71,"Maryborough","Jun-24","ALL",6466,3.3,66.4,21,3.8,22.1,57.1
"181",180,72,"Monto","Jun-24","1",2,100,100,0,0,50,100
"182",181,72,"Monto","Jun-24","2",21,0,100,0,0,61.9,92.3
"183",182,72,"Monto","Jun-24","3",81,17.4,98.7,0,1.2,50.6,100
"184",183,72,"Monto","Jun-24","4",222,-0.9,100,0,0.5,18.9,97.6
"185",184,72,"Monto","Jun-24","5",78,-23.5,100,0,0,6.4,100
"186",185,72,"Monto","Jun-24","ALL",404,-3.1,99.7,0,0.5,25.2,98
"187",186,74,"Mundubbera MPHS","Jun-24","1",0,-100,NA,NA,NA,NA,NA
"188",187,74,"Mundubbera MPHS","Jun-24","2",16,-38.5,87.5,0,0,75,100
"189",188,74,"Mundubbera MPHS","Jun-24","3",53,-1.9,100,0,0,37.7,100
"190",189,74,"Mundubbera MPHS","Jun-24","4",92,-1.1,100,0,0,7.6,100
"191",190,74,"Mundubbera MPHS","Jun-24","5",55,139.1,98,0,1.8,5.5,100
"192",191,74,"Mundubbera MPHS","Jun-24","ALL",216,8.5,98.6,0,0.5,19.4,100
"193",192,75,"Murgon","Jun-24","1",2,-33.3,100,0,0,50,100
"194",193,75,"Murgon","Jun-24","2",81,5.2,90.1,1,0,49.4,92.5
"195",194,75,"Murgon","Jun-24","3",329,39.4,89.1,3,3.3,28.6,71.3
"196",195,75,"Murgon","Jun-24","4",624,23.8,93.2,9,4.5,7.4,80.4
"197",196,75,"Murgon","Jun-24","5",315,18.4,99.4,6,4.8,3.2,90
"198",197,75,"Murgon","Jun-24","ALL",1351,24.4,92.7,5,4,14.1,79.1
"199",198,76,"Nanango","Jun-24","1",1,-50,100,0,0,0,NA
"200",199,76,"Nanango","Jun-24","2",47,38.2,86.7,0,4.3,8.5,50
"201",200,76,"Nanango","Jun-24","3",87,24.3,94.2,5,1.1,8,71.4
"202",201,76,"Nanango","Jun-24","4",322,-0.6,90,10,2.5,1.9,100
"203",202,76,"Nanango","Jun-24","5",587,54.9,97.6,14,3.1,0.5,100
"204",203,76,"Nanango","Jun-24","ALL",1044,29,93.9,10,2.8,1.9,80
"205",204,91,"Chinchilla","Jun-24","1",4,-33.3,100,0,0,100,100
"206",205,91,"Chinchilla","Jun-24","2",120,18.8,92.5,1,0,55,97
"207",206,91,"Chinchilla","Jun-24","3",464,15.1,88.6,5,1.1,30.8,91.6
"208",207,91,"Chinchilla","Jun-24","4",990,10.5,92.9,4,2.9,7.6,92
"209",208,91,"Chinchilla","Jun-24","5",1181,22.8,99,5,3.6,0.7,100
"210",209,91,"Chinchilla","Jun-24","ALL",2759,16.5,94.1,4,2.8,10.7,93.2
"211",210,92,"Dalby","Jun-24","1",13,62.5,100,0,0,46.2,100
"212",211,92,"Dalby","Jun-24","2",419,23.2,55,10,0.2,54.4,92.1
"213",212,92,"Dalby","Jun-24","3",1419,19.7,59.3,24,1.8,34.7,96.3
"214",213,92,"Dalby","Jun-24","4",1482,-15.2,65.6,38,5.3,9.8,95.2
"215",214,92,"Dalby","Jun-24","5",580,-5.5,88.2,23,9.1,3.1,100
"216",215,92,"Dalby","Jun-24","ALL",3913,0.5,64.9,25,4,22.7,95.2
"217",216,93,"Goondiwindi","Jun-24","1",1,-87.5,100,0,0,0,NA
"218",217,93,"Goondiwindi","Jun-24","2",162,11.7,87.5,1,0,46.9,73.7
"219",218,93,"Goondiwindi","Jun-24","3",677,29.4,85.8,8,0.4,23.6,76.9
"220",219,93,"Goondiwindi","Jun-24","4",1510,29.4,90.5,12,3,4.1,62.9
"221",220,93,"Goondiwindi","Jun-24","5",618,-12.7,97.9,11,6.3,1.1,71.4
"222",221,93,"Goondiwindi","Jun-24","ALL",2968,16.3,90.4,10,2.9,10.3,73.1
"223",222,95,"Jandowae","Jun-24","1",1,0,100,0,0,100,100
"224",223,95,"Jandowae","Jun-24","2",22,-29,81.8,0,0,40.9,88.9
"225",224,95,"Jandowae","Jun-24","3",82,-19.6,94.9,0,0,19.5,93.8
"226",225,95,"Jandowae","Jun-24","4",213,55.5,97.5,0,0,5.2,90.9
"227",226,95,"Jandowae","Jun-24","5",221,90.5,100,0,0,3.6,100
"228",227,95,"Jandowae","Jun-24","ALL",539,39.3,96.8,0,0,8.3,93.3
"229",228,97,"Miles","Jun-24","1",2,-60,100,0,0,100,100
"230",229,97,"Miles","Jun-24","2",46,17.9,95.6,0,2.2,69.6,100
"231",230,97,"Miles","Jun-24","3",174,13,93.1,3,0,36.2,93.7
"232",231,97,"Miles","Jun-24","4",342,35.2,96.1,5,4.1,9.9,94.1
"233",232,97,"Miles","Jun-24","5",566,21.7,98.5,12,3.5,6.9,94.9
"234",233,97,"Miles","Jun-24","ALL",1130,23.4,96.4,5,3.1,15,95.3
"235",234,98,"Millmerran","Jun-24","1",5,400,100,0,0,60,100
"236",235,98,"Millmerran","Jun-24","2",83,33.9,92.7,0,0,28.9,87.5
"237",236,98,"Millmerran","Jun-24","3",232,24.1,94.7,1,1.7,20.7,83.3
"238",237,98,"Millmerran","Jun-24","4",252,-0.4,97.9,0,3.2,4,90
"239",238,98,"Millmerran","Jun-24","5",161,2.5,100,0,1.9,0.6,100
"240",239,98,"Millmerran","Jun-24","ALL",733,11.1,96.5,0,2,11.7,86
"241",240,99,"Oakey","Jun-24","1",1,-66.7,100,0,0,0,NA
"242",241,99,"Oakey","Jun-24","2",40,185.7,90,0,0,22.5,88.9
"243",242,99,"Oakey","Jun-24","3",262,64.8,94.6,5,1.1,18.7,89.8
"244",243,99,"Oakey","Jun-24","4",338,-8.2,98.8,5,2.7,9.5,84.4
"245",244,99,"Oakey","Jun-24","5",170,60.4,99.3,5,3.5,3.5,100
"246",245,99,"Oakey","Jun-24","ALL",811,24.8,96.9,5,2.2,11.8,88.5
"247",246,100,"Stanthorpe","Jun-24","1",3,50,100,0,0,66.7,100
"248",247,100,"Stanthorpe","Jun-24","2",303,20.2,76,3,0,50.2,73.7
"249",248,100,"Stanthorpe","Jun-24","3",670,1.8,81.5,6,2.8,22.7,73.7
"250",249,100,"Stanthorpe","Jun-24","4",884,16.5,84.2,7,7.5,4.3,76.3
"251",250,100,"Stanthorpe","Jun-24","5",444,-11.9,96.9,2,7,1.8,75
"252",251,100,"Stanthorpe","Jun-24","ALL",2304,5.9,84,5,5,15.3,74.1
"253",252,101,"Tara","Jun-24","1",8,60,100,0,0,25,100
"254",253,101,"Tara","Jun-24","2",103,83.9,94.2,0,0,48.5,88
"255",254,101,"Tara","Jun-24","3",236,4.4,95.3,0,0.4,28.4,88.1
"256",255,101,"Tara","Jun-24","4",364,-1.4,96.2,3,1.6,10.2,91.9
"257",256,101,"Tara","Jun-24","5",636,17.3,100,2,1.1,1.3,87.5
"258",257,101,"Tara","Jun-24","ALL",1347,12.4,96.7,1,1,12.2,89
"259",258,102,"Taroom","Jun-24","1",0,NA,NA,NA,NA,NA,NA
"260",259,102,"Taroom","Jun-24","2",15,15.4,100,0,0,46.7,85.7
"261",260,102,"Taroom","Jun-24","3",48,-2,95.8,0,0,22.9,100
"262",261,102,"Taroom","Jun-24","4",122,10.9,99.1,0,0,11.5,92.9
"263",262,102,"Taroom","Jun-24","5",433,46.8,100,2,0.2,1.2,100
"264",263,102,"Taroom","Jun-24","ALL",618,32.3,99.3,0,0.2,6,94.6
"265",264,103,"Texas","Jun-24","1",0,NA,NA,NA,NA,NA,NA
"266",265,103,"Texas","Jun-24","2",12,9.1,100,0,0,50,50
"267",266,103,"Texas","Jun-24","3",26,-55.2,96.2,0,0,30.8,62.5
"268",267,103,"Texas","Jun-24","4",166,104.9,99.3,0,0.6,10.8,88.9
"269",268,103,"Texas","Jun-24","5",184,-2.6,100,0,1.1,1.6,100
"270",269,103,"Texas","Jun-24","ALL",388,14.5,99.3,0,0.8,9,77.1
"271",270,104,"Toowoomba","Jun-24","1",181,22.3,100,0,0,64.6,16.2
"272",271,104,"Toowoomba","Jun-24","2",3447,-2.1,48.8,11,0.4,48.5,19.7
"273",272,104,"Toowoomba","Jun-24","3",8995,-4.3,44.7,36,4.3,34.2,28.8
"274",273,104,"Toowoomba","Jun-24","4",2919,-14,60.3,45,7.3,13.2,32.5
"275",274,104,"Toowoomba","Jun-24","5",323,-22.7,84.1,32,10.5,6.8,50
"276",275,104,"Toowoomba","Jun-24","ALL",15865,-6,49.8,28,4.1,33.2,26
"277",276,105,"Warwick","Jun-24","1",27,80,100,0,0,44.4,25
"278",277,105,"Warwick","Jun-24","2",791,10.3,43,13,0.4,54.9,55.1
"279",278,105,"Warwick","Jun-24","3",1957,7.5,44.1,37,3.8,28.6,45.7
"280",279,105,"Warwick","Jun-24","4",2147,-4.8,56.1,50,10.6,6.6,35.2
"281",280,105,"Warwick","Jun-24","5",662,5.2,85.5,38,9.8,1.1,57.1
"282",281,105,"Warwick","Jun-24","ALL",5584,2.7,53.1,35,6.6,20.7,47.8
"283",282,106,"Wandoan","Jun-24","1",0,NA,NA,NA,NA,NA,NA
"284",283,106,"Wandoan","Jun-24","2",0,-100,NA,NA,NA,NA,NA
"285",284,106,"Wandoan","Jun-24","3",6,50,100,0,0,0,NA
"286",285,106,"Wandoan","Jun-24","4",41,-2.4,100,0,0,0,NA
"287",286,106,"Wandoan","Jun-24","5",342,83.9,100,0,0,0,NA
"288",287,106,"Wandoan","Jun-24","ALL",389,65.5,100,0,0,0,NA
"289",288,112,"Charleville","Jun-24","1",3,NA,100,0,0,33.3,100
"290",289,112,"Charleville","Jun-24","2",82,-18,100,0,0,56.1,69.6
"291",290,112,"Charleville","Jun-24","3",375,7.4,98.4,2,1.3,25.9,78.4
"292",291,112,"Charleville","Jun-24","4",525,3.1,100,2,1.7,6.1,78.1
"293",292,112,"Charleville","Jun-24","5",142,-35.5,100,2,6.3,6.3,88.9
"294",293,112,"Charleville","Jun-24","ALL",1127,-4.3,99.4,1,2,16.4,76.8
"295",294,113,"Cunnamulla","Jun-24","1",1,NA,100,0,0,0,NA
"296",295,113,"Cunnamulla","Jun-24","2",32,-5.9,100,0,0,15.6,60
"297",296,113,"Cunnamulla","Jun-24","3",92,26,97.8,0,2.2,30.4,82.1
"298",297,113,"Cunnamulla","Jun-24","4",120,-29,100,0,2.5,6.7,100
"299",298,113,"Cunnamulla","Jun-24","5",117,60.3,99.1,0,0,3.4,75
"300",299,113,"Cunnamulla","Jun-24","ALL",362,3.7,99.1,0,1.4,12.4,82.2
"301",300,114,"Dirranbandi","Jun-24","1",1,NA,100,0,0,0,NA
"302",301,114,"Dirranbandi","Jun-24","2",15,0,100,0,0,33.3,80
"303",302,114,"Dirranbandi","Jun-24","3",58,5.5,96.5,0,1.7,13.8,100
"304",303,114,"Dirranbandi","Jun-24","4",106,-14.5,99,0,0.9,2.8,66.7
"305",304,114,"Dirranbandi","Jun-24","5",66,-8.3,100,0,3,4.5,100
