"","age","cups","where_drink","purchase_other","favourite","favorite_specify","additions","additions_other","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","education_level","employment_status","number_children","political_affiliation"
"25","45-54 years old","More than 4","At home",NA,"Americano",NA,"No - just black",NA,NA,"Bold","Somewhat strong","Dark","Half caff",6,2,5,1,2,3,5,2,2,3,2,5,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","$40-$60","Yes","$6-$8","$6-$8","No","$100-$300","Yes","Female",NA,NA,NA,NA
"26","25-34 years old","2","At home, At a cafe, On the go, At the office",NA,"Cappuccino",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",8,2,4,4,4,2,4,4,3,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person",">$100","Yes","More than $20","More than $20","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"27","45-54 years old","More than 4","At home",NA,"Espresso",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Somewhat strong","Dark","Full caffeine",8,2,4,2,3,2,4,3,3,3,3,4,2,"Coffee B","Coffee D","Coffee B","I primarily work from home","$60-$80","No","$8-$10","$10-$15","No","More than $1,000","Yes","Male","Master's degree","Employed full-time","3","Independent"
"28","35-44 years old","2","On the go, At a cafe, At the office",NA,"Latte",NA,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black",NA,"Raw Sugar (Turbinado), Brown Sugar","Sweet","Very strong","Medium","Full caffeine",3,2,2,5,2,2,4,2,2,4,2,2,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$20-$40","Yes","$4-$6","$6-$8","Yes","$20-$50","Yes","Male","Some college or associate's degree","Employed full-time","None","No affiliation"
"29","35-44 years old","2","At home",NA,"Cold brew",NA,"Other","Coconut",NA,"Nutty","Somewhat strong","Dark","Full caffeine",5,3,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","25-34 years old","1","At home, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",5,2,3,3,3,2,3,1,2,3,2,4,4,"Coffee A","Coffee D","Coffee D","I primarily work from home",">$100","No","$8-$10","$10-$15","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","2","Democrat"
"31","25-34 years old","2","At the office, On the go",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Caramalized","Very strong","Light","Full caffeine",8,4,3,5,3,4,1,5,3,2,2,2,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$40-$60","Yes","$8-$10","$10-$15","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"32","35-44 years old","2","At home",NA,"Other","Flat white","Milk, dairy alternative, or coffee creamer",NA,NA,"Floral","Somewhat strong","Light","Full caffeine",9,2,4,5,4,2,1,5,1,1,1,5,5,"Coffee A","Coffee A","Coffee A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25-34 years old","2","At home, At the office",NA,"Cappuccino",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",9,2,3,3,3,2,3,2,4,3,1,4,4,"Coffee C","Coffee D","Coffee D",NA,"$40-$60","Yes","$15-$20","$15-$20","No","More than $1,000","Yes","Male",NA,NA,NA,NA
"34","25-34 years old","2","At home, At a cafe, On the go",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Light","Full caffeine",7,2,5,5,5,1,2,4,2,4,3,3,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$80-$100","Yes","$10-$15","$10-$15","No","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"35","45-54 years old","2","At home, At the office",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",6,2,4,4,3,3,4,4,2,1,1,5,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","$8-$10","$8-$10","Yes","$100-$300","Yes","Male","Master's degree","Employed full-time","2","Democrat"
"36","25-34 years old","2","At home, At a cafe, On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Very strong","Light","Full caffeine",8,3,4,4,2,2,3,3,2,3,4,5,4,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$8-$10","$10-$15","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Independent"
"37","35-44 years old","1","At home",NA,"Cold brew",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",6,2,2,4,2,2,5,3,4,2,3,4,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","Yes","$50-$100","Yes","Female","Bachelor's degree","Unemployed","1","Democrat"
"38","18-24 years old","2","At home, At a cafe",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Light","Full caffeine",6,2,4,4,4,2,3,3,3,3,1,5,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","Yes","$50-$100","Yes","Male",NA,NA,NA,NA
"39","35-44 years old","2","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Nordic","Full caffeine",9,3,3,3,4,1,2,3,2,3,1,4,4,"Coffee A","Coffee D","Coffee D","I do a mix of both",">$100","Yes","$15-$20","More than $20","Yes","More than $1,000","Yes","Male","Doctorate or professional degree","Employed full-time","None","Democrat"
"40","25-34 years old","3","At the office, At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,2,5,5,3,4,2,3,3,5,1,5,4,"Coffee C","Coffee A","Coffee C","I do a mix of both","$40-$60","Yes","$10-$15","More than $20","No","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"41","25-34 years old","2","At home, At the office",NA,"Americano",NA,"No - just black",NA,NA,"Full Bodied","Medium","Dark","Full caffeine",3,2,5,2,3,2,4,4,3,3,3,4,2,"Coffee B","Coffee D","Coffee B","I do a mix of both",">$100","Yes","$8-$10","$15-$20","Yes","$20-$50","No","Female","Doctorate or professional degree","Employed full-time","None","Democrat"
"42","25-34 years old","3","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",7,3,4,2,5,2,2,4,3,3,1,5,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$8-$10","$15-$20","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","1","No affiliation"
"43","25-34 years old","1","At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Chocolatey","Medium","Light","Full caffeine",2,1,4,5,3,2,4,4,2,2,2,4,3,"Coffee A","Coffee A","Coffee A","I primarily work in person","$20-$40","Yes","$6-$8","More than $20","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","More than 3","Democrat"
"44","25-34 years old","3","At home, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Chocolatey","Medium","Light","Full caffeine",8,1,1,5,2,1,3,3,3,2,2,2,1,"Coffee A","Coffee A","Coffee D","I primarily work in person","$20-$40","Yes","$15-$20","$10-$15","No","$100-$300","Yes","Male","Master's degree","Student","None","No affiliation"
"45","25-34 years old","1","At home, On the go, At the office, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Very strong","Medium","Full caffeine",6,3,3,4,3,1,3,4,2,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$8-$10","$8-$10","Yes","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"46","45-54 years old","2","At home, At the office, On the go",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Italian","Full caffeine",6,2,4,1,4,3,4,4,4,5,1,4,NA,"Coffee C","Coffee A","Coffee C","I primarily work from home",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","35-44 years old","1","At home, On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,4,4,5,4,2,4,2,2,3,4,5,1,"Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","Yes","$6-$8","$6-$8","No","$300-$500","Yes","Female","Doctorate or professional degree","Employed full-time","2","No affiliation"
"48","25-34 years old","2","At home, At a cafe",NA,"Iced coffee",NA,"No - just black",NA,NA,"Bright","Medium","Light","Decaf",7,2,3,4,3,2,2,3,2,2,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$80-$100","Yes","$8-$10","$8-$10","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","1","Independent"
"49","25-34 years old","3","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Medium","Medium","Full caffeine",3,2,3,4,1,2,5,4,2,2,3,3,1,"Coffee A","Coffee A","Coffee C","I primarily work in person",">$100","Yes","$15-$20","More than $20","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"50","25-34 years old","3","At home, At the office, On the go, At a cafe",NA,"Americano",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Light","Full caffeine",7,1,4,2,2,3,3,3,2,5,1,3,3,"Coffee C","Coffee D","Coffee C","I do a mix of both","$20-$40","Yes","$8-$10","$10-$15","No","$20-$50","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"51","45-54 years old","1","At the office, At home",NA,"Cappuccino",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Medium","Decaf",5,3,3,4,2,4,2,2,5,1,1,4,2,"Coffee A","Coffee A","Coffee A","I do a mix of both","$20-$40","Yes","$4-$6","$4-$6","No","$500-$1000","Yes","Male","Some college or associate's degree","Employed full-time","2","Independent"
"52","25-34 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",6,2,2,3,4,1,2,1,3,3,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$10-$15","$10-$15","No","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","None","No affiliation"
"53","35-44 years old","3","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",8,4,2,2,4,2,2,3,3,4,1,4,5,"Coffee C","Coffee D","Coffee D","I primarily work in person",">$100","Yes","$10-$15","$10-$15","Yes","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Independent"
"54","25-34 years old","2","At home",NA,"Cortado",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Medium","Full caffeine",7,3,4,3,4,2,2,3,2,4,3,5,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$10-$15","$15-$20","Yes","$500-$1000","Yes","Male","Doctorate or professional degree","Employed full-time","None","Independent"
"55","25-34 years old","3","At the office, At home",NA,"Espresso",NA,"No - just black",NA,NA,"Floral","Medium","Light","Full caffeine",7,4,4,2,2,4,2,3,4,3,2,4,4,"Coffee C","Coffee D","Coffee D","I primarily work from home","$20-$40","No","$8-$10","More than $20","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","1","Democrat"
"56","18-24 years old","2","At home",NA,"Cold brew",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",2,2,4,1,2,2,4,4,2,5,2,4,2,"Coffee C","Coffee D","Coffee C","I primarily work from home","$20-$40","Yes","$8-$10",NA,"Yes","$20-$50","Yes","Male","Some college or associate's degree","Student","None","No affiliation"
"57","25-34 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",5,2,5,4,5,2,2,4,3,3,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$40-$60","Yes","$4-$6","$6-$8",NA,"$100-$300","Yes","Male",NA,NA,NA,NA
"58","25-34 years old","More than 4","At home, At the office, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",5,3,3,4,4,3,3,2,2,4,1,5,2,"Coffee A","Coffee A","Coffee A","I primarily work in person","$40-$60","No","$8-$10","$8-$10","Yes","$500-$1000","Yes","Male","High school graduate","Employed full-time","None","No affiliation"
"59","35-44 years old","3","At home, At a cafe",NA,"Americano",NA,"No - just black",NA,NA,"Nutty","Very strong","Medium","Full caffeine",7,3,4,3,4,2,4,2,2,5,1,5,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","$40-$60","Yes","$6-$8","$8-$10","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","2","Democrat"
"60","25-34 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat light","Light","Full caffeine",7,2,2,4,3,3,3,5,1,1,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$60-$80","Yes","More than $20","More than $20","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","More than 3","Independent"
"61","25-34 years old","1","At the office",NA,"Mocha",NA,"Sugar or sweetener",NA,"Honey","Floral","Somewhat strong","Light","Full caffeine",4,2,5,4,4,3,3,5,2,2,3,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$10-$15","$10-$15","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"62","25-34 years old","1","At the office, At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Chocolatey","Medium","Light","Full caffeine",3,1,4,2,4,1,5,3,3,4,1,5,1,"Coffee B","Coffee A","Coffee B","I do a mix of both","$60-$80","No","$6-$8","$10-$15","Yes","$20-$50","Yes","Female","Doctorate or professional degree","Employed full-time","None","Democrat"
"63","18-24 years old","2","At home, At the office, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",7,2,4,3,3,1,5,3,2,4,3,4,1,"Coffee B","Coffee A","Coffee B","I do a mix of both","$60-$80","Yes","$10-$15","$10-$15","No","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","None","Independent"
"64","25-34 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Artificial Sweeteners (e.g., Splenda), Maple Syrup, Agave Nectar, Honey","Sweet","Medium","Medium","Full caffeine",6,2,3,4,2,2,3,4,2,2,1,4,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","<$20","No","$6-$8","$8-$10","Yes","$20-$50","Yes","Female","Some college or associate's degree","Employed part-time","None","Democrat"
"65","35-44 years old","1","At home, On the go, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Dark","Half caff",7,2,3,3,3,2,3,3,1,4,2,4,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","No","$8-$10","$6-$8","Yes","Less than $20","Yes","Female","Master's degree","Employed full-time","None","Democrat"
"66","35-44 years old","2","At home",NA,"Espresso",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Very strong","Light","Full caffeine",7,1,4,5,3,1,4,2,3,4,2,5,2,"Coffee A","Coffee A","Coffee A","I primarily work in person","$40-$60","Yes","$10-$15","$15-$20","No","More than $1,000","No","Male","Doctorate or professional degree","Employed full-time","3","Democrat"
"67","25-34 years old","1","At a cafe, At home",NA,"Iced coffee",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",8,1,4,5,5,1,1,4,2,2,2,4,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$60-$80","Yes","$15-$20","More than $20","Yes","More than $1,000","Yes","Male","Master's degree","Student","None","Independent"
"68","25-34 years old","1","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bold","Somewhat strong","Dark","Full caffeine",4,3,4,3,3,2,5,3,1,4,3,5,1,"Coffee B","Coffee A","Coffee B","I do a mix of both","<$20","No","$6-$8","$8-$10","No","Less than $20","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"69","25-34 years old","2","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Floral","Medium","Nordic","Full caffeine",8,1,4,4,2,3,3,4,1,2,1,3,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$80-$100","Yes","$15-$20","$15-$20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"70","25-34 years old","1","At the office, At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,2,4,4,5,1,4,2,3,3,1,5,4,"Coffee A","Coffee A","Coffee A","I do a mix of both","$20-$40","Yes","$6-$8","$6-$8","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None",NA
"71","35-44 years old","1","At home",NA,"Cold brew",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Maple Syrup","Caramalized","Somewhat strong","Medium","Full caffeine",5,2,4,1,3,3,3,3,2,3,2,4,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","$60-$80","No","$8-$10","$8-$10","Yes","$50-$100","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"72","25-34 years old","3","At home",NA,"Cortado",NA,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",NA,"Artificial Sweeteners (e.g., Splenda)","Chocolatey","Medium","Medium","Full caffeine",5,3,3,2,3,2,4,4,1,3,1,5,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","$40-$60","Yes","$6-$8","$10-$15","No","$500-$1000","Yes","Male","Master's degree","Employed full-time","None",NA
